used_pin_number,distance_from_home,online_order,ratio_to_median_purchase_price,fraud
0.0,94.68948594,0.0,2.379195917,0
0.0,2.148094171,1.0,0.86755184,0
0.0,8.201513479,1.0,0.56864621,0
0.0,1.813191836,1.0,0.749469176,0
1.0,26.21192385,1.0,1.610983921,0
0.0,1.18734786,1.0,0.687310633,0
0.0,121.8509751,0.0,1.935690811,0
1.0,107.3899331,1.0,1.586228292,0
0.0,3.798015364,1.0,1.231318021,0
0.0,12.0800141,0.0,0.735669995,0
0.0,16.24106543,0.0,0.28304161,0
0.0,6.970431602,1.0,0.396224244,0
0.0,10.78461146,1.0,0.349042024,0
0.0,175.3149302,1.0,1.134477164,0
1.0,16.73386172,1.0,0.264789197,0
0.0,13.2558469,1.0,2.423991703,0
0.0,2.973371396,1.0,13.049504070200001,1
0.0,41.7550453,1.0,8.825657558,1
0.0,7.3745994,1.0,3.338555818,0
0.0,4.581057673,1.0,2.724342517,0
0.0,8.835817492,1.0,3.376266678,0
0.0,1.14686482,1.0,5.132792227,1
0.0,10.87267637,0.0,8.110417712,0
0.0,43.02364897,1.0,0.278163741,0
0.0,41.64564591,1.0,0.619173347,0
1.0,14.30211682,0.0,0.566883827,0
0.0,0.626903949,1.0,0.965865187,0
0.0,15.97397483,0.0,1.024074869,0
1.0,1.865669143,1.0,0.225651023,0
0.0,19.88257744,1.0,0.455148283,0
1.0,17.20358227,0.0,1.616769432,0
0.0,57.84316102,1.0,1.129288594,0
0.0,2.044793074,0.0,0.919236406,0
0.0,83.62873424,1.0,2.750657608,0
0.0,11.06735826,1.0,0.699644565,0
0.0,10.77878358,1.0,1.079525509,0
0.0,38.80958672,0.0,0.958572535,0
0.0,12.13003652,1.0,0.568211933,0
0.0,0.787742585,1.0,0.953843978,0
0.0,52.78556716,0.0,3.052804826,0
0.0,1.246952059,1.0,0.602682004,0
0.0,2.4609638,1.0,0.267644143,0
0.0,6.132069675,1.0,0.144389147,0
0.0,7.951357378,1.0,0.741597874,0
0.0,1.447966138,1.0,0.409037194,0
0.0,62.21197009,0.0,1.682833179,0
0.0,106.9106149,0.0,0.282477015,0
0.0,2.611084304,1.0,1.568260809,0
0.0,202.771645,1.0,0.108596115,1
0.0,11.98672637,0.0,0.390119666,0
0.0,14.14834181,1.0,1.055462056,0
0.0,5.166575833,0.0,2.983020313,0
0.0,4.622334837,1.0,2.608264993,0
0.0,1.993179602,1.0,1.620430776,0
1.0,13.12326985,1.0,0.485989028,0
0.0,7.199811344,0.0,0.558566214,0
0.0,5.700944964,1.0,0.122684673,0
1.0,34.3134873,1.0,0.460703918,0
0.0,10.77303868,1.0,0.545735846,0
0.0,3.58058788,1.0,4.147094855,1
0.0,3.689083579,0.0,2.018083551,0
0.0,6.880346414,0.0,1.036767936,0
0.0,47.58913831,1.0,1.413829826,0
1.0,22.91824146,1.0,3.095519414,0
0.0,11.76047915,0.0,1.357634941,0
0.0,37.57142476,1.0,1.980371694,0
0.0,0.552177366,1.0,0.870239372,0
0.0,4.610121833,1.0,1.426600129,0
0.0,8.053976366,1.0,0.520137335,0
0.0,25.27318633,0.0,6.126126516,0
0.0,4.031521756,1.0,4.80681178,1
0.0,1.468609448,1.0,0.169553612,0
1.0,104.3772242,1.0,0.843409206,0
0.0,20.57614612,1.0,0.100892202,0
0.0,3.178565037,0.0,0.391639073,0
0.0,56.34640289,0.0,0.764535765,0
1.0,77.56041958,1.0,2.795147626,0
1.0,6.145058003,1.0,1.198834443,0
0.0,3.634259219,1.0,2.083797988,0
0.0,17.61323879,0.0,0.246585729,0
0.0,29.1065222,1.0,1.580818518,0
0.0,47.29747616,1.0,0.516728593,0
0.0,126.9892386,1.0,2.34673115,1
0.0,4.49804672,0.0,8.85544708,0
1.0,4.451497991,1.0,0.460250517,0
0.0,36.57446932,1.0,2.497998233,0
1.0,6.71279091,0.0,0.586365675,0
0.0,24.19792438,1.0,0.678968337,0
0.0,0.586706781,1.0,0.371092464,0
0.0,3.633619315,0.0,0.207831688,0
0.0,4.399732301,1.0,0.110827055,0
1.0,10.38572671,1.0,1.156383546,0
0.0,2.146013229,0.0,0.109609689,0
0.0,20.13437329,1.0,0.846362364,0
0.0,10.13580316,0.0,0.198844659,0
0.0,35.46048027,1.0,0.287460634,0
0.0,8.657678377,0.0,2.969067428,0
1.0,8.934702521,1.0,1.011687008,0
1.0,12.01420231,1.0,1.937517575,0
0.0,17.18679805,1.0,1.07378673,0
1.0,2.542531381,0.0,2.032366175,0
0.0,3.332423338,1.0,1.631005246,0
0.0,2.251335359,1.0,0.154713253,0
0.0,14.4817311,1.0,0.219731329,0
0.0,11.95177937,0.0,0.627001846,0
0.0,0.994007401,0.0,2.037402443,0
0.0,9.708205968,1.0,0.440997801,0
0.0,16.76609251,0.0,2.348195952,0
0.0,90.41198627,1.0,0.60501873,0
0.0,25.60594462,0.0,1.177344838,0
1.0,2.403518928,1.0,3.997448392,0
0.0,125.3526784,1.0,2.75232107,0
0.0,3.864454126,1.0,1.295207324,0
0.0,1.010562989,1.0,0.242658864,0
0.0,4.058874284,1.0,1.746155578,0
0.0,24.4757396,1.0,2.510944757,0
0.0,27.00348294,1.0,2.056172018,0
0.0,1.983244754,1.0,0.48158009,0
0.0,23.89278245,1.0,2.339513224,0
0.0,1.291122245,0.0,2.085049704,0
0.0,3.954543452,1.0,0.857386184,0
0.0,4.164576027,0.0,4.056063551,0
0.0,39.07242927,1.0,0.735776134,0
0.0,15.59917383,0.0,8.114324963,0
0.0,0.515023121,1.0,1.233321129,0
0.0,13.47806913,1.0,1.423205767,0
1.0,81.90335541,1.0,3.241202099,0
0.0,2.271452569,1.0,1.819504439,0
0.0,5.010338859,1.0,2.157900024,0
0.0,36.78075393,1.0,0.427192311,0
1.0,1.512618239,1.0,0.527841109,0
0.0,35.98821553,1.0,0.142082502,0
0.0,2.016690936,1.0,0.244402579,0
0.0,5.114865655,0.0,2.207595666,0
1.0,20.2865165,0.0,1.051275028,0
1.0,21.01607597,1.0,5.539018092,0
0.0,7.077713032,1.0,1.53287089,0
0.0,1.098706277,1.0,0.60746402,0
1.0,10.49854561,1.0,0.736904311,0
0.0,27.80992492,1.0,2.143648991,1
0.0,179.4638633,1.0,4.198774059,1
0.0,3.595994002,1.0,0.321174028,0
0.0,57.24673154,0.0,2.944121056,0
0.0,5.162552974,1.0,0.101510059,0
0.0,2.089700357,1.0,1.486185616,0
0.0,41.83166396,0.0,0.930426956,0
0.0,1.813282006,1.0,6.766455783,1
0.0,8.753525951,0.0,5.185235047,0
0.0,25.62329659,1.0,0.876983089,0
0.0,252.1226414,1.0,0.256049446,1
0.0,52.29817884,1.0,0.269713262,0
